Date,Firm bought from,Buying price,Quantity bought,Customer,Selling price,Quantity sold
2023-08-21,Vendor6,72.11,60,Customer7,91.58,44
2023-08-21,Vendor4,75.08,92,Customer7,83.71,17
2023-08-21,Vendor7,83.93,16,Customer2,103.76,15
2023-08-21,Vendor7,52.01,62,Customer3,64.53,7
2023-08-21,Vendor2,98.91,1,Customer5,140.92,1
2023-08-21,Vendor9,63.34,89,Customer4,85.13,83
2023-08-21,Vendor2,74.34,7,Customer6,106.93,6
2023-08-21,Vendor3,98.11,62,Customer2,146.76,62
2023-08-21,Vendor1,20.95,95,Customer3,24.48,22
2023-08-21,Vendor5,88.45,39,Customer7,102.31,23
2023-08-22,Vendor5,27.71,33,Customer2,32.9,11
2023-08-22,Vendor10,10.48,80,Customer3,14.31,40
2023-08-22,Vendor1,52.63,96,Customer10,70.75,54
2023-08-22,Vendor3,69.41,83,Customer8,80.31,32
2023-08-22,Vendor9,80.15,34,Customer9,109.71,20
2023-08-22,Vendor9,92.7,23,Customer8,132.53,9
2023-08-22,Vendor7,89.79,61,Customer1,111.92,25
2023-08-22,Vendor5,62.22,59,Customer4,69.25,14
2023-08-22,Vendor2,67.21,13,Customer4,78.5,12
2023-08-22,Vendor7,58.42,8,Customer6,68.74,3
2023-08-23,Vendor7,55.24,45,Customer2,72.22,19
2023-08-23,Vendor3,71.96,70,Customer10,105.37,49
2023-08-23,Vendor3,70.65,15,Customer4,95.07,4
2023-08-23,Vendor1,40.63,49,Customer2,53.71,1
2023-08-23,Vendor7,27.75,22,Customer1,30.86,3
2023-08-23,Vendor10,10.19,42,Customer8,11.65,25
2023-08-23,Vendor10,35.85,6,Customer3,40.31,2
2023-08-23,Vendor10,93.29,68,Customer8,135.33,41
2023-08-23,Vendor1,64.52,76,Customer6,78.53,11
2023-08-23,Vendor4,50.49,43,Customer10,59.99,41
2023-08-24,Vendor2,59.3,14,Customer7,79.45,1
2023-08-24,Vendor6,14.76,19,Customer2,16.25,3
2023-08-24,Vendor7,26.29,55,Customer10,38.53,55
2023-08-24,Vendor5,18.66,68,Customer5,22.45,11
2023-08-24,Vendor4,99.23,95,Customer1,131.98,92
2023-08-24,Vendor7,93.63,94,Customer7,119.13,23
2023-08-24,Vendor7,24.75,20,Customer8,31.49,19
2023-08-24,Vendor2,17.24,52,Customer5,19.39,42
2023-08-24,Vendor2,14.3,85,Customer6,18.81,57
2023-08-24,Vendor7,15.42,9,Customer2,22.79,7
2023-08-25,Vendor2,17.82,60,Customer9,22.13,58
2023-08-25,Vendor10,59.01,61,Customer6,84.3,34
2023-08-25,Vendor1,17.62,81,Customer8,22.11,74
2023-08-25,Vendor7,53.89,68,Customer8,64.51,23
2023-08-25,Vendor2,42.84,99,Customer2,63.24,9
2023-08-25,Vendor3,92.54,28,Customer3,129.69,15
2023-08-25,Vendor2,11.13,22,Customer5,14.78,4
2023-08-25,Vendor8,10.31,70,Customer9,12.26,9
2023-08-25,Vendor7,87.36,68,Customer1,124.13,34
2023-08-25,Vendor4,17.85,80,Customer5,20.47,20
2023-08-26,Vendor6,32.9,47,Customer9,44.05,32
2023-08-26,Vendor7,94.29,34,Customer8,113.3,29
2023-08-26,Vendor7,66.39,67,Customer7,88.23,8
2023-08-26,Vendor2,78.7,2,Customer10,92.87,1
2023-08-26,Vendor4,82.77,66,Customer8,124.13,65
2023-08-26,Vendor8,67.04,49,Customer2,83.95,9
2023-08-26,Vendor10,38.79,94,Customer1,44.29,47
2023-08-26,Vendor3,48.76,93,Customer9,59.41,67
2023-08-26,Vendor9,64.69,22,Customer1,97.02,7
2023-08-26,Vendor4,28.9,88,Customer8,36.83,11
2023-08-27,Vendor2,57.2,69,Customer7,63.08,16
2023-08-27,Vendor9,57.37,52,Customer2,72.03,8
2023-08-27,Vendor4,68.27,22,Customer4,100.62,1
2023-08-27,Vendor4,83.76,34,Customer3,96.1,7
2023-08-27,Vendor9,77.18,59,Customer4,104.27,43
2023-08-27,Vendor4,64.82,28,Customer6,87.45,18
2023-08-27,Vendor8,88.79,14,Customer3,105.59,5
2023-08-27,Vendor5,63.3,81,Customer5,92.92,32
2023-08-27,Vendor5,94.06,18,Customer5,125.67,4
2023-08-27,Vendor5,56.28,25,Customer6,82.16,1
